Name	Percentage
Altor Attendant	90.9
Brazen Zealot	0.9
Imprisoned Sungil	6.3
Agent Protector	2.6
Micro Mummy	2.4
Murgur Murgurgle	64.4
Sandwasp Queen	2.3
Shotbot	16.4
Sir Finley of the Sands	1.8
Aldor Peacekeeper	6.7
Bronze Explorer	12.5
Bronze Herald	1.6
Commander Rhyssa	0.09
Dragonrider Talritha	1.5
Salhet's Pride	23
Sky Claw	0.6
Ancestral Guardian	1.9
Lightforged Zealot	66.2
Nozdormu The Timeless	2
Aldor Truthseeker	90.8
Amber Watcher	6.9
Dragon Speaker	0.6
Scalelord	2.6
Guardian of Kings	0.7
Lady Liadrin	82.3
Lightforged Crusader	63.4
Tirion Fordring	10.2
Nozari	0.8
